jvm;options;iteration;exitcode;duration;DRAM;CPU
16.0.0.j9-adpt;deafult;1;0;17104447;221301526;790449698
16.0.0.hs-adpt;deafult;1;0;18994541;244955540;864933333
11.0.11.j9-adpt;deafult;1;0;17234464;221413400;789575738
11.0.11.hs-adpt;deafult;1;0;19015639;248771864;880437627
11.0.10.j9-adpt;deafult;1;0;17101936;221210338;794156353
11.0.10.hs-adpt;deafult;1;0;20413964;264659155;937235210
8.0.292.j9-adpt;deafult;1;0;17091734;218767264;780679886
8.0.292.hs-adpt;deafult;1;0;23567867;308118607;1090185869
8.0.282.j9-adpt;deafult;1;0;17019756;219057322;784304694
8.0.282.hs-adpt;deafult;1;0;23676295;307963617;1097526243
11.0.9.4-albba;deafult;1;0;19720505;254997694;918332427
8.5.5-albba;deafult;1;0;23579638;305847521;1095965090
16.0.1.9.1-amzn;deafult;1;0;18947529;244668620;867028604
16.0.0.36.1-amzn;deafult;1;0;18964256;245696810;880425420
15.0.2.7.1-amzn;deafult;1;0;20400758;262734691;938578896
11.0.11.9.1-amzn;deafult;1;0;18982377;245655056;870398650
11.0.10.9.1-amzn;deafult;1;0;19708104;255982984;909478812
8.292.10.1-amzn;deafult;1;0;23636154;306750267;1113050130
8.282.08.1-amzn;deafult;1;0;23706593;307131098;1114534989
16.0.0-zulu;deafult;1;0;19021069;244131405;877231337
16.0.0.fx-zulu;deafult;1;0;18994460;244866861;865740337
15.0.2.fx-zulu;deafult;1;0;20407225;265586028;957713247
11.0.11-zulu;deafult;1;0;18227570;235415898;829590162
11.0.10-zulu;deafult;1;0;19628004;253382168;897690818
11.0.10.fx-zulu;deafult;1;0;20439311;267919447;954777768
8.0.292-zulu;deafult;1;0;23623573;307627522;1098983576
8.0.282-zulu;deafult;1;0;23629599;306230556;1096295656
8.0.282.fx-zulu;deafult;1;0;23571169;305943406;1095081913
16.0.1.fx-librca;deafult;1;0;18997667;244828780;864657760
16.0.1-librca;deafult;1;0;19058895;246915914;878944831
16.0.0.fx-librca;deafult;1;0;18949143;245419940;875555864
16.0.0-librca;deafult;1;0;18899910;245175630;885124382
11.0.11.fx-librca;deafult;1;0;19093859;246103193;870691740
11.0.11-librca;deafult;1;0;18962551;244926086;874795490
11.0.10.fx-librca;deafult;1;0;20429752;264463683;955548335
11.0.10-librca;deafult;1;0;20332070;262468838;932495964
8.0.292.fx-librca;deafult;1;0;23789024;307956013;1158189235
8.0.292-librca;deafult;1;0;23690313;307268339;1098620540
8.0.282.fx-librca;deafult;1;0;23482347;305253038;1109756437
8.0.282-librca;deafult;1;0;23613704;306364369;1122099239
21.1.0.r16-grl;deafult;1;0;24658479;318914623;1135913473
21.1.0.r11-grl;deafult;1;0;24725216;320556436;1148145254
21.1.0.r8-grl;deafult;1;0;24611417;319656719;1155385776
21.0.0.2.r11-grl;deafult;1;0;24669697;319581565;1136203329
21.0.0.2.r8-grl;deafult;1;0;24721432;321353565;1148731617
20.3.2.r11-grl;deafult;1;0;24882857;323113861;1145772579
20.3.2.r8-grl;deafult;1;0;24717700;320525820;1159270836
20.3.1.2.r11-grl;deafult;1;0;24709796;319765195;1132534210
20.3.1.2.r8-grl;deafult;1;0;24780180;321081639;1172033620
19.3.6.r11-grl;deafult;1;0;24823414;321027568;1145099730
19.3.6.r8-grl;deafult;1;0;24916158;323926429;1173956285
19.3.5.r11-grl;deafult;1;0;24493741;320617590;1127627424
19.3.5.r8-grl;deafult;1;0;24787904;321431549;1152846108
17.ea.19-open;deafult;1;0;19043792;245878589;883805172
17.ea.6.lm-open;deafult;1;0;19078558;245993186;879522528
17.ea.2.pma-open;deafult;1;0;18978479;244598729;878585885
16-open;deafult;1;0;19008738;247498109;874026754
16.0.1-open;deafult;1;0;18972402;245367584;868263402
11.0.11-open;deafult;1;0;19078025;246362206;893794160
11.0.10-open;deafult;1;0;19577746;254671131;896578332
11.0.2-open;deafult;1;0;20346584;266042520;944320703
8.0.292-open;deafult;1;0;23578013;305927172;1091871168
8.0.282-open;deafult;1;0;23616249;305993498;1092390941
8.0.265-open;deafult;1;0;23592459;306343744;1095027714
21.0.0.0-mandrel;deafult;1;0;20423086;263721893;946230671
20.3.1.2-mandrel;deafult;1;0;19749572;256926704;944123254
11.0.11.9.1-ms;deafult;1;0;18264533;235538971;832297979
11.0.10.9-ms;deafult;1;0;20367820;263109664;934314198
16-sapmchn;deafult;1;0;18996608;245366835;892246068
16.0.1-sapmchn;deafult;1;0;18987989;246395056;882285094
15.0.2-sapmchn;deafult;1;0;20406249;266037563;948474745
11.0.11-sapmchn;deafult;1;0;19049586;246481623;876901869
11.0.10-sapmchn;deafult;1;0;20322004;265319120;957991200
11.0.9-trava;deafult;1;0;19651686;255219882;901960702
8.0.232-trava;deafult;1;0;23738453;308983607;1113219318
20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;19784703;254931477;899588761
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=community;1;0;24921672;325736296;1157520718
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;17580081;229008075;829480847
15.0.1.j9-adpt; -XcompilationThreads1;1;0;16995494;218740687;791227345
15.0.1.j9-adpt; -XcompilationThreads3;1;0;17159121;221615650;788955622
15.0.1.j9-adpt; -XcompilationThreads7;1;0;17129257;221447779;787390318
15.0.1.j9-adpt; -Xjit:count=0;1;0;23252204;302244705;1105656533
15.0.1.j9-adpt; -Xjit:count=1;1;0;15430090;198146430;730065453
15.0.1.j9-adpt; -Xjit:count=10;1;0;16819955;218265057;785744083
15.0.1.j9-adpt; -Xjit:count=100;1;0;17397836;227978552;814615590
15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;23744066;308408282;1116856821
15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;15994341;208654928;752723232
15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;25303891;329674639;1167405704
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;25301430;332493282;1173285570
15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;25409371;330690405;1178286718
15.0.1-open; -XX:-TieredCompilation;1;0;20443395;265535356;951410284
15.0.1-open; -XX:TieredStopAtLevel=1;1;0;14892278;190597071;694768058
15.0.1-open; -XX:TieredStopAtLevel=2;1;0;25982313;337173642;1246321883
15.0.1-open; -XX:TieredStopAtLevel=3;1;0;38430418;503222310;1870411533
15.0.1-open; -XX:TieredStopAtLevel=4;1;0;20386885;264986987;932971428
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;20221861;262554196;946708331
20.2.0.r11-grl; -XX:+UseG1GC;1;0;25554007;334565911;1204281097
20.2.0.r11-grl; -XX:ParallelGCThreads=5;1;0;25018447;325256488;1143834840
20.2.0.r11-grl; -XX:ConcGCThreads=5;1;0;24925839;324659896;1149167530
20.2.0.r11-grl; -XX:ParallelGCThreads=1;1;0;24969703;325687963;1159602011
20.2.0.r11-grl; -XX:ConcGCThreads=1;1;0;24966065;326176675;1159790427
