jvm;options;iteration;exitcode;duration;DRAM;CPU
16.0.0.j9-adpt;default;1;0;20474599;296762166;1296932166
16.0.0.hs-adpt;default;1;0;19077619;272342938;1178361302
11.0.11.j9-adpt;default;1;0;19837002;284606026;1209933792
11.0.11.hs-adpt;default;1;0;19804191;279873582;1189380744
11.0.10.j9-adpt;default;1;0;20059796;290701668;1300248564
11.0.10.hs-adpt;default;1;0;19726726;276463243;1160667743
8.0.292.j9-adpt;default;1;0;17629957;252522568;1072918213
8.0.292.hs-adpt;default;1;0;22972134;341896310;1411456531
8.0.282.j9-adpt;default;1;0;17788544;256724346;1106670690
8.0.282.hs-adpt;default;1;0;21564735;307340861;1273307164
11.0.9.4-albba;default;1;0;19803812;283266113;1195147636
8.5.5-albba;default;1;0;18625124;269418679;1109078032
16.0.1.9.1-amzn;default;1;0;19203014;271089455;1196989489
16.0.0.36.1-amzn;default;1;0;19106759;271861615;1171298148
15.0.2.7.1-amzn;default;1;0;17846597;255132901;1118907658
11.0.11.9.1-amzn;default;1;0;20071499;284174733;1188378244
11.0.10.9.1-amzn;default;1;0;21500184;300657515;1282961316
8.292.10.1-amzn;default;1;0;20229583;289247463;1212490548
8.282.08.1-amzn;default;1;0;22288574;313927159;1310637757
16.0.0-zulu;default;1;0;18043677;257349075;1104785685
16.0.0.fx-zulu;default;1;0;18161518;260863868;1123807731
15.0.2.fx-zulu;default;1;0;17888371;256179973;1111071558
11.0.11-zulu;default;1;0;19594514;276439328;1176358439
11.0.10-zulu;default;1;0;19858380;280882082;1185927201
11.0.10.fx-zulu;default;1;0;20207484;285837951;1208243366
8.0.292-zulu;default;1;0;23054185;343747976;1405191288
8.0.282-zulu;default;1;0;21564328;305410598;1270476484
8.0.282.fx-zulu;default;1;0;19326349;275572629;1127289533
16.0.1.fx-librca;default;1;0;19192713;274542251;1190569706
16.0.1-librca;default;1;0;18070913;258237149;1129556374
16.0.0.fx-librca;default;1;0;18349025;261828533;1146841058
16.0.0-librca;default;1;0;19355503;274987819;1187498669
11.0.11.fx-librca;default;1;0;20453446;289154456;1218930291
11.0.11-librca;default;1;0;20068094;283606981;1199567425
11.0.10.fx-librca;default;1;0;20085257;283004131;1192519957
11.0.10-librca;default;1;0;19443568;274878775;1177062599
8.0.292.fx-librca;default;1;0;21368173;301216792;1267504933
8.0.292-librca;default;1;0;21453816;304575020;1285737615
8.0.282.fx-librca;default;1;0;21730491;308639281;1287285889
8.0.282-librca;default;1;0;21526344;304727606;1275828217
21.1.0.r16-grl;default;1;0;17281982;245389770;1073923459
21.1.0.r11-grl;default;1;0;17173912;246137418;1072728395
21.1.0.r8-grl;default;1;0;17626478;253303526;1094979680
21.0.0.2.r11-grl;default;1;0;17310628;246178391;1070441230
21.0.0.2.r8-grl;default;1;0;17719657;255285870;1112818319
20.3.2.r11-grl;default;1;0;17457225;251124209;1090666458
20.3.2.r8-grl;default;1;0;18348928;267675428;1151363630
20.3.1.2.r11-grl;default;1;0;17401417;250737441;1069972298
20.3.1.2.r8-grl;default;1;0;17736400;256038599;1111360498
19.3.6.r11-grl;default;1;0;18098878;257665724;1103308577
19.3.6.r8-grl;default;1;0;18419223;266919684;1131718721
19.3.5.r11-grl;default;1;0;18020089;258047367;1110549342
19.3.5.r8-grl;default;1;0;19060830;273452188;1162817213
17.ea.19-open;default;1;0;17617258;254547600;1128517069
17.ea.6.lm-open;default;1;0;17723812;253138239;1087265222
17.ea.2.pma-open;default;1;0;18111824;259555534;1133745938
16-open;default;1;0;17832952;260765596;1115799573
16.0.1-open;default;1;0;19716557;282696004;1224700661
11.0.11-open;default;1;0;19828147;278009232;1195981923
11.0.10-open;default;1;0;19993163;282536715;1196227651
11.0.2-open;default;1;0;18338904;262816592;1120788636
8.0.292-open;default;1;0;21583465;306239675;1278806418
8.0.282-open;default;1;0;20029530;285686649;1186778517
8.0.265-open;default;1;0;20749436;295046424;1247009564
21.0.0.0-mandrel;default;1;0;19960784;283579823;1187964610
20.3.1.2-mandrel;default;1;0;20001671;281591358;1195836477
11.0.11.9.1-ms;default;1;0;19649763;278839792;1170808404
11.0.10.9-ms;default;1;0;19816089;280524183;1189619879
16-sapmchn;default;1;0;18013575;258158691;1120451844
16.0.1-sapmchn;default;1;0;19189042;269250195;1163358411
15.0.2-sapmchn;default;1;0;18033379;256315484;1102379014
11.0.11-sapmchn;default;1;0;20666529;296880006;1232430194
11.0.10-sapmchn;default;1;0;20056337;287747451;1188022044
8.0.232-trava;default;1;0;20093075;288769905;1185695207
20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;19136988;271503702;1183922323
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=community;1;0;17552153;252368268;1086755884
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;31651422;438766759;1913687910
15.0.1.j9-adpt; -XcompilationThreads1;1;0;19409716;279825876;1204304168
15.0.1.j9-adpt; -XcompilationThreads3;1;0;20337334;289148734;1291132009
15.0.1.j9-adpt; -XcompilationThreads7;1;0;20687582;295727947;1307188487
15.0.1.j9-adpt; -Xjit:count=0;1;0;34247511;474248744;1951163280
15.0.1.j9-adpt; -Xjit:count=1;1;0;24386885;346582285;1558514870
15.0.1.j9-adpt; -Xjit:count=10;1;0;17688449;254158444;1131142306
15.0.1.j9-adpt; -Xjit:count=100;1;0;25659645;362951511;1611154261
15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;65422682;887329742;3584837197
15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;48232138;657025895;2555263600
15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;33489686;465588762;1830486646
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;27731448;387266470;1586477567
15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;44073368;602762135;2330495743
15.0.1-open; -XX:-TieredCompilation;1;0;18289592;257962223;1105726356
15.0.1-open; -XX:TieredStopAtLevel=1;1;0;26178730;364992087;1591565079
15.0.1-open; -XX:TieredStopAtLevel=4;1;0;18720114;265137372;1140664315
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;18308876;259538842;1127029769
20.2.0.r11-grl; -XX:+UseG1GC;1;0;17654945;251200572;1080100812
20.2.0.r11-grl; -XX:ParallelGCThreads=5;1;0;17521401;248329756;1081553995
20.2.0.r11-grl; -XX:ConcGCThreads=5;1;0;17463942;256324955;1081177224
20.2.0.r11-grl; -XX:ParallelGCThreads=1;1;0;17626120;248648715;1070326056
20.2.0.r11-grl; -XX:ConcGCThreads=1;1;0;17477270;247577960;1091365431
20.2.0.r11-grl; -XX:+DisableExplicitGC;1;0;17497329;251347681;1094471135
20.2.0.r11-grl; -XX:+UseParallelGC;1;0;18710429;269933831;1165853949
20.2.0.r11-grl; -XX:+UseParallelOldGC;1;0;17910618;258187852;1152836221
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;1;0;18637117;266409567;1137575517
15.0.1.j9-adpt; -Xgc:concurrentScavenge;1;0;18621895;265578027;1147854178
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;1;0;20431415;288004155;1280382648
15.0.1.j9-adpt; -Xgcpolicy:balanced;1;0;28030859;392333081;1723828961
15.0.1.j9-adpt; -Xgcpolicy:gencon;1;0;19868612;281700709;1223346417
15.0.1.j9-adpt; -Xgcpolicy:metronome;1;0;30751939;427741197;1920859890
15.0.1.j9-adpt; -Xgcpolicy:nogc;1;0;25554253;357746712;1605669962
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;1;0;21694242;308191021;1332233833
15.0.1.j9-adpt; -Xgcpolicy:optthruput;1;0;20885136;295186831;1316772569
15.0.1-open; -XX:+UseG1GC;1;0;17372706;250219581;1097595213
15.0.1-open; -XX:ParallelGCThreads=5;1;0;18662006;266313254;1179830903
15.0.1-open; -XX:ConcGCThreads=5;1;0;17880842;254842431;1099654350
15.0.1-open; -XX:ParallelGCThreads=1;1;0;17887146;254566801;1113850360
15.0.1-open; -XX:ConcGCThreads=1;1;0;18677759;264457885;1144345459
15.0.1-open; -XX:+DisableExplicitGC;1;0;19109219;271563784;1168506043
15.0.1-open; -XX:+UseParallelGC;1;0;17735348;251780197;1085466459
15.0.1-open; -XX:+UseParallelOldGC;1;0;19150199;270686698;1174315658
15.0.1-open; -XX:+UseSerialGC;1;0;18398569;261072867;1114861465
