jvm;options;iteration;exitcode;duration;DRAM;CPU
16.0.0.j9-adpt;default;1;0;47608637;641577134;2136228724
16.0.0.hs-adpt;default;1;0;39660796;533922571;1803225913
11.0.11.j9-adpt;default;1;0;44578085;599595908;2026656921
11.0.11.hs-adpt;default;1;0;39286978;529708048;1836088561
11.0.10.j9-adpt;default;1;0;44436244;599355437;2041595908
11.0.10.hs-adpt;default;1;0;40772923;549389003;1863536916
8.0.292.j9-adpt;default;1;0;63317918;855112762;2873835905
8.0.292.hs-adpt;default;1;0;60433890;815787846;2674199025
8.0.282.j9-adpt;default;1;0;64271985;873781578;2940223003
8.0.282.hs-adpt;default;1;0;59636674;805218911;2697507743
11.0.9.4-albba;default;1;0;40024785;538682553;1849909388
8.5.5-albba;default;1;0;39683035;534363623;1858975039
16.0.1.9.1-amzn;default;1;0;58511808;787264392;2647362730
16.0.0.36.1-amzn;default;1;0;58354675;785976775;2651796739
15.0.2.7.1-amzn;default;1;0;57946387;778659916;2637556052
11.0.11.9.1-amzn;default;1;0;60487991;815230649;2684749598
11.0.10.9.1-amzn;default;1;0;60039923;811335882;2693207522
8.292.10.1-amzn;default;1;0;60004718;809958622;2679005227
8.282.08.1-amzn;default;1;0;60266254;813414172;2688787367
16.0.0-zulu;default;1;0;41041563;552593956;1888368152
16.0.0.fx-zulu;default;1;0;39489261;529071094;1829670427
15.0.2.fx-zulu;default;1;0;39224035;525257247;1814711052
11.0.11-zulu;default;1;0;39564520;531054325;1817743882
11.0.10-zulu;default;1;0;39631545;531118187;1819636883
11.0.10.fx-zulu;default;1;0;39618902;531580155;1829235612
8.0.292-zulu;default;1;0;64681468;871363106;2893652871
8.0.282-zulu;default;1;0;62369600;842674107;2877503375
8.0.282.fx-zulu;default;1;0;62341115;840180620;2820011336
16.0.1.fx-librca;default;1;0;40279079;543462089;1888072498
16.0.1-librca;default;1;0;39986528;536574703;1861259334
16.0.0.fx-librca;default;1;0;39863005;535546481;1860927793
16.0.0-librca;default;1;0;39733822;532781236;1855429637
11.0.11.fx-librca;default;1;0;39682282;534408437;1831091809
11.0.11-librca;default;1;0;39541576;530833133;1827757101
11.0.10.fx-librca;default;1;0;41213690;557881529;1841254929
11.0.10-librca;default;1;0;40818669;554004953;1892481178
8.0.292.fx-librca;default;1;0;61426073;828623719;2720472588
8.0.292-librca;default;1;0;58935631;797334714;2651373828
8.0.282.fx-librca;default;1;0;58668623;792076165;2642668223
8.0.282-librca;default;1;0;58506018;791078085;2648292232
21.1.0.r16-grl;default;1;0;39522998;531478181;1833871770
21.1.0.r11-grl;default;1;0;39430306;530923603;1826739281
21.1.0.r8-grl;default;1;0;43065943;580222634;1921369594
21.0.0.2.r11-grl;default;1;0;39933382;539185326;1942603058
21.0.0.2.r8-grl;default;1;0;40202731;539820292;1862207696
20.3.2.r11-grl;default;1;0;40677123;547383999;1855096508
20.3.2.r8-grl;default;1;0;40676048;550891127;1877292008
20.3.1.2.r11-grl;default;1;0;39900808;538363410;1853214555
20.3.1.2.r8-grl;default;1;0;41018656;553683117;1821467140
19.3.6.r11-grl;default;1;0;41455192;559228938;1878118788
19.3.6.r8-grl;default;1;0;40118713;540766734;1863888966
19.3.5.r11-grl;default;1;0;39418487;530329518;1832166392
19.3.5.r8-grl;default;1;0;39544650;532843078;1820418252
17.ea.19-open;default;1;0;39534598;532799473;1785242439
17.ea.6.lm-open;default;1;0;39393174;529784394;1804471576
17.ea.2.pma-open;default;1;0;39346384;528797390;1815141166
16-open;default;1;0;39546457;531996805;1835721374
16.0.1-open;default;1;0;39663483;533497781;1847764434
11.0.11-open;default;1;0;39585111;532555989;1832267404
11.0.10-open;default;1;0;39543637;533366109;1819782756
11.0.2-open;default;1;0;39462117;531649893;1840630969
8.0.292-open;default;1;0;64187231;866885226;2836009708
8.0.282-open;default;1;0;63894318;861318243;2870993321
8.0.265-open;default;1;0;64309452;868131532;2861307983
21.0.0.0-mandrel;default;1;0;41521628;558772433;1870172337
20.3.1.2-mandrel;default;1;0;41318721;556881704;1885477473
11.0.11.9.1-ms;default;1;0;39738178;537169001;1865037278
11.0.10.9-ms;default;1;0;41453716;559523646;1848053864
16-sapmchn;default;1;0;40872035;549950283;1863929067
16.0.1-sapmchn;default;1;0;40540371;547188206;1927891609
15.0.2-sapmchn;default;1;0;39725487;536888506;1818936690
11.0.11-sapmchn;default;1;0;39592862;532143255;1826669883
11.0.10-sapmchn;default;1;0;39468997;530046162;1824214141
8.0.232-trava;default;1;0;64255634;866777068;2888203543
20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;39444973;530252253;1834343265
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=community;1;0;39509764;531695272;1829086383
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;39617779;537251972;1833547125
15.0.1.j9-adpt; -XcompilationThreads1;1;0;44501821;599557321;2034614177
15.0.1.j9-adpt; -XcompilationThreads3;1;0;44400227;599583958;2050007873
15.0.1.j9-adpt; -XcompilationThreads7;1;0;44016991;590964152;2019988359
15.0.1.j9-adpt; -Xjit:count=0;1;0;50225790;676923270;2291901665
15.0.1.j9-adpt; -Xjit:count=1;1;0;46680191;630790526;2088142116
15.0.1.j9-adpt; -Xjit:count=10;1;0;43906398;592958644;2020839675
15.0.1.j9-adpt; -Xjit:count=100;1;0;44513013;597873816;2059539222
15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;44477753;598642855;2059654883
15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;44461787;598344444;2055066456
15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;45260397;610176744;2065680625
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;44841766;608674407;2080156844
15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;46769982;628966445;2132688083
15.0.1-open; -XX:-TieredCompilation;1;0;41068559;554233917;1858876101
15.0.1-open; -XX:TieredStopAtLevel=0;1;0;46205541;626117295;2193195435
15.0.1-open; -XX:TieredStopAtLevel=1;1;0;39573157;531805953;1816402454
15.0.1-open; -XX:TieredStopAtLevel=2;1;0;39646910;533745029;1837376340
15.0.1-open; -XX:TieredStopAtLevel=3;1;0;39783681;535011135;1855942087
15.0.1-open; -XX:TieredStopAtLevel=4;1;0;39603298;532913061;1816056752
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;39551715;533857025;1818063034
20.2.0.r11-grl; -XX:+UseG1GC;1;0;39514072;533111027;1835495056
20.2.0.r11-grl; -XX:ParallelGCThreads=5;1;0;39917495;536584219;1846911959
20.2.0.r11-grl; -XX:ConcGCThreads=5;1;0;39370930;532977595;1833863348
20.2.0.r11-grl; -XX:ParallelGCThreads=1;1;0;40243664;541078105;1844469643
20.2.0.r11-grl; -XX:ConcGCThreads=1;1;0;39719527;536318090;1819237102
20.2.0.r11-grl; -XX:+DisableExplicitGC;1;0;39652340;533402615;1809050910
20.2.0.r11-grl; -XX:+UseParallelGC;1;0;39533128;530555146;1808904976
20.2.0.r11-grl; -XX:+UseParallelOldGC;1;0;39477444;533425290;1848040863
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;1;0;39447355;531008456;1835684326
15.0.1.j9-adpt; -Xgc:concurrentScavenge;1;0;44664389;601433025;2043433429
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;1;0;44651625;600950493;2048278386
15.0.1.j9-adpt; -Xgcpolicy:balanced;1;0;44727767;607120019;2074291992
15.0.1.j9-adpt; -Xgcpolicy:gencon;1;0;44520055;599460395;2033938581
15.0.1.j9-adpt; -Xgcpolicy:metronome;1;0;49031293;661207477;2185117086
15.0.1.j9-adpt; -Xgcpolicy:nogc;1;0;44470832;599625422;2033901532
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;1;0;43828982;594636291;2031458118
15.0.1.j9-adpt; -Xgcpolicy:optthruput;1;0;44470860;599065334;2051913570
