jvm;options;iteration;exitcode;duration;DRAM;CPU
16.0.0.j9-adpt;deafult;1;0;17498919;225816020;804080217
16.0.0.hs-adpt;deafult;1;0;19061274;246593771;861608267
11.0.11.j9-adpt;deafult;1;0;17244463;223187847;-261357969960
11.0.11.hs-adpt;deafult;1;0;18545808;241456323;850040731
11.0.10.j9-adpt;deafult;1;0;17281773;224478648;804652847
11.0.10.hs-adpt;deafult;1;0;19806486;258519157;920480065
8.0.292.j9-adpt;deafult;1;0;17279257;223512269;797051243
8.0.292.hs-adpt;deafult;1;0;23628702;308819530;1078733872
8.0.282.j9-adpt;deafult;1;0;17234523;223474722;798470611
8.0.282.hs-adpt;deafult;1;0;23617296;309012264;1086938929
11.0.9.4-albba;deafult;1;0;19769452;256321206;927378058
8.5.5-albba;deafult;1;0;23680134;309242437;1085530424
16.0.1.9.1-amzn;deafult;1;0;19330409;254963270;934220936
16.0.0.36.1-amzn;deafult;1;0;19119126;247865493;881848879
15.0.2.7.1-amzn;deafult;1;0;20559015;268275539;950626900
11.0.11.9.1-amzn;deafult;1;0;18549786;240300943;867684669
11.0.10.9.1-amzn;deafult;1;0;20567141;266309336;941449066
8.292.10.1-amzn;deafult;1;0;23780682;309860313;1119632510
8.282.08.1-amzn;deafult;1;0;23811953;312239203;1138823806
16.0.0-zulu;deafult;1;0;19130104;247190991;889524700
16.0.0.fx-zulu;deafult;1;0;19288226;252071570;896365991
15.0.2.fx-zulu;deafult;1;0;20470301;267762623;947381791
11.0.11-zulu;deafult;1;0;19208898;248759931;888063706
11.0.10-zulu;deafult;1;0;20443663;266274025;958877916
11.0.10.fx-zulu;deafult;1;0;19690831;256530496;911281786
8.0.292-zulu;deafult;1;0;23660768;306697191;1089323565
8.0.282-zulu;deafult;1;0;23616558;307167681;1092257824
8.0.282.fx-zulu;deafult;1;0;23771890;306923860;1098732233
7.0.302-zulu;deafult;1;0;23737655;308051624;1102717148
7.0.292-zulu;deafult;1;0;23702827;308243593;1104478801
6.0.119-zulu;deafult;1;0;19417490;251719746;908474969
16.0.1.fx-librca;deafult;1;0;19105373;247350127;875865373
16.0.1-librca;deafult;1;0;19068448;246258579;871743556
16.0.0.fx-librca;deafult;1;0;19088459;246848042;875272234
16.0.0-librca;deafult;1;0;19020339;247417357;880055425
11.0.11.fx-librca;deafult;1;0;18377358;238418538;838520375
11.0.11-librca;deafult;1;0;18298526;236820621;835943478
11.0.10.fx-librca;deafult;1;0;20505230;266194724;933829091
11.0.10-librca;deafult;1;0;19782187;256433676;914733437
8.0.292.fx-librca;deafult;1;0;23677005;307906670;1124891896
8.0.292-librca;deafult;1;0;23671382;307977693;1095831912
8.0.282.fx-librca;deafult;1;0;23713897;308419817;1110495265
8.0.282-librca;deafult;1;0;23646723;307376755;1094586065
21.1.0.r16-grl;deafult;1;0;24726990;323094859;1140078563
21.1.0.r11-grl;deafult;1;0;24756429;323424726;1144219238
21.1.0.r8-grl;deafult;1;0;24924810;325616512;1194176752
21.0.0.2.r11-grl;deafult;1;0;24772770;324760984;1150972395
21.0.0.2.r8-grl;deafult;1;0;24800362;323556597;1168285461
20.3.2.r11-grl;deafult;1;0;24820591;323831630;1137661760
20.3.2.r8-grl;deafult;1;0;24809249;325304790;1169523861
20.3.1.2.r11-grl;deafult;1;0;24652297;321596423;1139014906
20.3.1.2.r8-grl;deafult;1;0;24840232;323961389;1166464115
19.3.6.r11-grl;deafult;1;0;24753036;323374083;1139776013
19.3.6.r8-grl;deafult;1;0;24880750;323624576;1166517521
19.3.5.r11-grl;deafult;1;0;24883425;326257567;1153529152
19.3.5.r8-grl;deafult;1;0;25042492;328565740;1174274949
17.ea.19-open;deafult;1;0;19060549;246792229;866356852
17.ea.6.lm-open;deafult;1;0;19107311;249011294;890166727
17.ea.2.pma-open;deafult;1;0;19123777;247930366;895850978
16-open;deafult;1;0;19109082;247333038;874700703
16.0.1-open;deafult;1;0;19092005;248776178;878615609
11.0.11-open;deafult;1;0;18439408;239469282;852095353
11.0.10-open;deafult;1;0;19849707;258080584;916632480
11.0.2-open;deafult;1;0;19778782;257360167;908769829
8.0.292-open;deafult;1;0;23678677;310109182;1104674906
8.0.282-open;deafult;1;0;23927541;311779514;1105805824
8.0.265-open;deafult;1;0;23695944;308155663;1099775383
21.0.0.0-mandrel;deafult;1;0;19795135;257172559;909166373
20.3.1.2-mandrel;deafult;1;0;20462973;266493487;947931349
11.0.11.9.1-ms;deafult;1;0;18402349;240081373;858249818
11.0.10.9-ms;deafult;1;0;19717520;256613467;929114748
16-sapmchn;deafult;1;0;19055587;247510853;879431159
16.0.1-sapmchn;deafult;1;0;19016189;247293807;875419207
15.0.2-sapmchn;deafult;1;0;20531073;267662224;954010619
11.0.11-sapmchn;deafult;1;0;18371157;237927362;849881553
11.0.10-sapmchn;deafult;1;0;19804213;256439734;910338124
11.0.9-trava;deafult;1;0;19752757;257161329;931613948
8.0.232-trava;deafult;1;0;23616979;307789197;1087017480
20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;19677604;255147054;901829112
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=community;1;0;25195474;328206405;1159581077
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;17779147;232557032;864391464
15.0.1.j9-adpt; -XcompilationThreads1;1;0;17154929;223025347;800343044
15.0.1.j9-adpt; -XcompilationThreads3;1;0;17206066;221989888;792997909
15.0.1.j9-adpt; -XcompilationThreads7;1;0;19143037;247992606;883853450
15.0.1.j9-adpt; -Xjit:count=0;1;0;23281558;303042739;1102358384
15.0.1.j9-adpt; -Xjit:count=1;1;0;15532602;200428424;766763784
15.0.1.j9-adpt; -Xjit:count=10;1;0;16708672;215974248;778456993
15.0.1.j9-adpt; -Xjit:count=100;1;0;17601006;227764827;824971155
15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;23571699;308013908;1117170052
15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;16267612;209877153;761284794
15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;25584032;334126984;1193941523
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;25399735;330160091;1185297747
15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;25634367;335471824;1195664909
15.0.1-open; -XX:-TieredCompilation;1;0;20459036;265587007;939393042
15.0.1-open; -XX:TieredStopAtLevel=0;1;0;368758017;4903103989;18292237352
15.0.1-open; -XX:TieredStopAtLevel=1;1;0;14957222;195664035;708665971
15.0.1-open; -XX:TieredStopAtLevel=2;1;0;25792653;338124416;1237956242
15.0.1-open; -XX:TieredStopAtLevel=3;1;0;38635846;509304992;1891242595
15.0.1-open; -XX:TieredStopAtLevel=4;1;0;20505868;266296484;947621659
